Tanggal,Platform,Rating,Review
2026-04-10,agoda.com,5,"Friendly staff, but the wifi connection was terrible."
02-03-2026,Agoda,8.0 / 10,"kamar luas, view bagus. proses checkin juga sat set ga pake lama. recommended! <br><br>"
16/03/2026,agoda.com,3/10,overprice! ga sesuai foto. kamarnya sempit bgt sumpek.
2026-03-09,Agoda,2,Staff barely speaks English. Breakfast was awful.
2026-04-13,Traveloka,4.0,"overall bagus bgt, bersih dan nyaman. anak2 seneng bgt main di pool nya. <br><br>"
"April 07, 2026",Traveloka,1,"Terrible experience. The room was dirty and smelled like smoke.

[Translated by System]"
2026-03-03,agoda.com,10.0 / 10,"<i>overall bagus bgt, bersih dan nyaman. anak2 seneng bgt main di pool nya.</i>"
06/03/2026,Booking,4/10,"<i>sprei kayak blm diganti, ada noda kuning. minta ganti tpi housekeeping lama.</i>"
2026-03-15,Booking.com,5,"biasa aja, standard bintang 3. nothing special."
05/04/2026,Booking.com,6/10,"Check in cepet, tapi kebersihan toilet tolong ditingkatkan lg."
"April 15, 2026",tvlk,4,"Kamar luas, view bagus. proses checkin juga sat set ga pake lama. recommended!"
"March 15, 2026",agoda.com,4/10,"pelayanan sangat buruk, parkiran sempit susah keluar masuk."
07-04-2026,Traveloka,3,"Biasa aja, standard bintang 3. nothing special."
2026-04-21,Booking,4/10,<i>resepsionisnya jutek parah!! proses check in lama bgt nunggu hampir 2 jam.</i>
18/04/2026,Booking,7/10,"mantapppp nyaman banget, bersih, staf ramah semua."
"April 14, 2026",Traveloka,4,"<i>overall bagus bgt, bersih dan nyaman. anak2 seneng bgt main di pool nya.</i>"
22-03-2026,Booking,2/10,Very noisy! Poor soundproofing. <br><br>
10/03/2026,Booking,10.0 / 10,harga worth it banget dgn fasilitas yg dikasih. water heater berfungsi baik. <br><br>
18-04-2026,Traveloka,3.0,"overall lumayan lah, cuman wifi aja sering putus2."
2026-03-07,Traveloka,4.0,"kamar luas, view bagus. proses checkin juga sat set ga pake lama. recommended!"
2026-03-25,Booking.com,2/10,Wifi lemot ga bisa dipake kerja sama sekali. harga doang mahal fasilitas zonk.
23-03-2026,Booking.com,2/10,Overpriced for what you get. The pictures are misleading.
08-04-2026,tvlk,2.0,"kamar bau apek bgt, ac nya juga kurang dingin. pdhal bawa anak kecil. nyesel nginep sini."
2026-04-21,Booking,5.0 / 10,"check in cepet, tapi kebersihan toilet tolong ditingkatkan lg."
"April 16, 2026",tvlk,3.0,lokasi strategis kemana mana deket. cuma sayang bangunan agak tua dan kasurnya keras.
2026-04-04,Booking.com,9/10,selalu langganan nginep sini. breakfast nya juara! banyak pilihan
"April 29, 2026",agoda.com,10/10,"Very clean, spacious room. Highly recommended.

[Translated by System]"
06-03-2026,Booking,8.0 / 10,"Perfect location, beautiful pool. Will come back.

[Translated by System]"
23-04-2026,Booking,2,"pelayanan sangat buruk, parkiran sempit susah keluar masuk."
06/04/2026,Booking.com,2/10,"pelayanan sangat buruk, parkiran sempit susah keluar masuk."
2026-04-15,Booking.com,6,<i>lokasi strategis kemana mana deket. cuma sayang bangunan agak tua dan kasurnya keras.</i>
03/03/2026,agoda.com,9.0 / 10,"overall bagus bgt, bersih dan nyaman. anak2 seneng bgt main di pool nya."
19-04-2026,tvlk,2.0,<i>overprice! ga sesuai foto. kamarnya sempit bgt sumpek.</i>
06/03/2026,tvlk,1,"Banyak nyamuk, air panas di kamar mandi mati nyala. Gak rekomen."
2026-04-25,Traveloka,1.0,Very noisy! Poor soundproofing.
25-03-2026,Traveloka,4,"mantapppp nyaman banget, bersih, staf ramah semua."
30-03-2026,Traveloka,1,resepsionisnya jutek parah!! proses check in lama bgt nunggu hampir 2 jam. <br><br>
11-03-2026,Booking.com,8/10,"mantapppp nyaman banget, bersih, staf ramah semua."
